Link,Name,Disease Name
http://babelnet.org/rdf/page/s00176121n,s00176121n,heparin-induced thrombocytopenia
http://babelnet.org/rdf/page/s00176395n,s00176395n,arterial tortuosity syndrome
http://babelnet.org/rdf/page/s00176970n,s00176970n,dementia pugilistica
http://babelnet.org/rdf/page/s00181152n,s00181152n,Chemotherapy-induced acral erythema
http://babelnet.org/rdf/page/s00184279n,s00184279n,Geniculate ganglionitis
http://babelnet.org/rdf/page/s00186056n,s00186056n,systolic hypertension
http://babelnet.org/rdf/page/s00191878n,s00191878n,T-cell prolymphocytic leukemia
http://babelnet.org/rdf/page/s00192537n,s00192537n,potassium-aggravated myotonia
http://babelnet.org/rdf/page/s00199550n,s00199550n,gross pathology
http://babelnet.org/rdf/page/s00199886n,s00199886n,Zimmermann–Laband syndrome
http://babelnet.org/rdf/page/s00201404n,s00201404n,Zunich–Kaye syndrome
http://babelnet.org/rdf/page/s00205375n,s00205375n,Barcoo fever
http://babelnet.org/rdf/page/s00208729n,s00208729n,reflux nephropathy
http://babelnet.org/rdf/page/s00211140n,s00211140n,aggressive NK-cell leukemia
http://babelnet.org/rdf/page/s00213743n,s00213743n,Idiopathic giant-cell myocarditis
http://babelnet.org/rdf/page/s00213828n,s00213828n,mevalonate kinase
http://babelnet.org/rdf/page/s00213948n,s00213948n,pentosuria
http://babelnet.org/rdf/page/s00214001n,s00214001n,coxa valga
http://babelnet.org/rdf/page/s00215350n,s00215350n,condylomata lata
http://babelnet.org/rdf/page/s00216795n,s00216795n,DeSanctis–Cacchione syndrome
http://babelnet.org/rdf/page/s00221027n,s00221027n,galactose epimerase deficiency
http://babelnet.org/rdf/page/s00221565n,s00221565n,hepatosplenic T-cell lymphoma
http://babelnet.org/rdf/page/s00224245n,s00224245n,uncombable hair syndrome
http://babelnet.org/rdf/page/s00224759n,s00224759n,Urban–Rogers–Meyer syndrome
http://babelnet.org/rdf/page/s00227374n,s00227374n,usual interstitial pneumonia
http://babelnet.org/rdf/page/s00232691n,s00232691n,angioimmunoblastic T-cell lymphoma
http://babelnet.org/rdf/page/s00234312n,s00234312n,intestinal ischemia
http://babelnet.org/rdf/page/s00236287n,s00236287n,diastematomyelia
http://babelnet.org/rdf/page/s00250923n,s00250923n,rhinoscleroma
http://babelnet.org/rdf/page/s00253425n,s00253425n,orotic aciduria
http://babelnet.org/rdf/page/s00259507n,s00259507n,congenital contractural arachnodactyly
http://babelnet.org/rdf/page/s00263972n,s00263972n,Cat eye syndrome
http://babelnet.org/rdf/page/s00265815n,s00265815n,encephalopathy due to GLUT1 deficiency
http://babelnet.org/rdf/page/s00267709n,s00267709n,caput medusae
http://babelnet.org/rdf/page/s00280425n,s00280425n,psychogenic disease
http://babelnet.org/rdf/page/s00281406n,s00281406n,paraneoplastic syndrome
http://babelnet.org/rdf/page/s00284515n,s00284515n,medullary carcinoma
http://babelnet.org/rdf/page/s00292321n,s00292321n,cor bovinum
http://babelnet.org/rdf/page/s00295774n,s00295774n,lateral pontine syndrome
http://babelnet.org/rdf/page/s00296109n,s00296109n,heterophoria
http://babelnet.org/rdf/page/s00296666n,s00296666n,polyradiculoneuropathy
http://babelnet.org/rdf/page/s00298598n,s00298598n,abnormal uterine bleeding
http://babelnet.org/rdf/page/s00299405n,s00299405n,gestational trophoblastic disease
http://babelnet.org/rdf/page/s00299418n,s00299418n,gestational choriocarcinoma
http://babelnet.org/rdf/page/s00300430n,s00300430n,tonsillolith
http://babelnet.org/rdf/page/s00302892n,s00302892n,Brenner tumor
http://babelnet.org/rdf/page/s00302903n,s00302903n,mucinous tumor
http://babelnet.org/rdf/page/s00302906n,s00302906n,ovarian serous tumor
http://babelnet.org/rdf/page/s00304405n,s00304405n,binasal hemianopsia
http://babelnet.org/rdf/page/s00310411n,s00310411n,Bálint's syndrome
http://babelnet.org/rdf/page/s00316518n,s00316518n,Foix–Alajouanine syndrome
