,,Disease Name,
http://babelnet.org/rdf/page/s05772661n,s05772661n,,
http://babelnet.org/rdf/page/s05772903n,s05772903n,,
http://babelnet.org/rdf/page/s05772981n,s05772981n,,
http://babelnet.org/rdf/page/s05773354n,s05773354n,,
http://babelnet.org/rdf/page/s06258538n,s06258538n,,
http://babelnet.org/rdf/page/s17954281n,s17954281n,,
http://babelnet.org/rdf/page/s05353787n,s05353787n,,
http://babelnet.org/rdf/page/s06517795n,s06517795n,,
http://babelnet.org/rdf/page/s15103497n,s15103497n,,
http://babelnet.org/rdf/page/s18492162n,s18492162n,,
http://babelnet.org/rdf/page/s23570941n,s23570941n,,
http://babelnet.org/rdf/page/s29224848n,s29224848n,,
http://babelnet.org/rdf/page/s17147380n,s17147380n,,
http://babelnet.org/rdf/page/s06698607n,s06698607n,,
http://babelnet.org/rdf/page/s06698878n,s06698878n,,
http://babelnet.org/rdf/page/s09230926n,s09230926n,,
http://babelnet.org/rdf/page/s06338927n,s06338927n,,
http://babelnet.org/rdf/page/s21331403n,s21331403n,,
http://babelnet.org/rdf/page/s05773026n,s05773026n,,
http://babelnet.org/rdf/page/s11206612n,s11206612n,,
http://babelnet.org/rdf/page/s13103346n,s13103346n,,
http://babelnet.org/rdf/page/s05533885n,s05533885n,,
http://babelnet.org/rdf/page/s18389341n,s18389341n,,
http://babelnet.org/rdf/page/s05191927n,s05191927n,,
http://babelnet.org/rdf/page/s08684825n,s08684825n,,
http://babelnet.org/rdf/page/s05277421n,s05277421n,,
http://babelnet.org/rdf/page/s05749380n,s05749380n,,
http://babelnet.org/rdf/page/s05758160n,s05758160n,,
http://babelnet.org/rdf/page/s06381037n,s06381037n,,
http://babelnet.org/rdf/page/s06418216n,s06418216n,,
http://babelnet.org/rdf/page/s06755058n,s06755058n,,
http://babelnet.org/rdf/page/s06759048n,s06759048n,,
http://babelnet.org/rdf/page/s07765579n,s07765579n,,
http://babelnet.org/rdf/page/s08726501n,s08726501n,,
http://babelnet.org/rdf/page/s08768555n,s08768555n,,
http://babelnet.org/rdf/page/s08770802n,s08770802n,,
http://babelnet.org/rdf/page/s09308982n,s09308982n,,
http://babelnet.org/rdf/page/s11506171n,s11506171n,,
http://babelnet.org/rdf/page/s13310388n,s13310388n,,
http://babelnet.org/rdf/page/s16145401n,s16145401n,,
http://babelnet.org/rdf/page/s17943269n,s17943269n,,
http://babelnet.org/rdf/page/s18476131n,s18476131n,,
http://babelnet.org/rdf/page/s21176497n,s21176497n,,
http://babelnet.org/rdf/page/s21176545n,s21176545n,,
http://babelnet.org/rdf/page/s23865615n,s23865615n,,
http://babelnet.org/rdf/page/s25605951n,s25605951n,,
http://babelnet.org/rdf/page/s26422529n,s26422529n,,
http://babelnet.org/rdf/page/s05740567n,s05740567n,,
http://babelnet.org/rdf/page/s08650648n,s08650648n,,
http://babelnet.org/rdf/page/s05219124n,s05219124n,,
http://babelnet.org/rdf/page/s05315785n,s05315785n,,
http://babelnet.org/rdf/page/s05609811n,s05609811n,,
http://babelnet.org/rdf/page/s05863666n,s05863666n,,
http://babelnet.org/rdf/page/s05874074n,s05874074n,,
http://babelnet.org/rdf/page/s05874076n,s05874076n,,
http://babelnet.org/rdf/page/s06393652n,s06393652n,,
http://babelnet.org/rdf/page/s07406170n,s07406170n,,
http://babelnet.org/rdf/page/s09262182n,s09262182n,,
http://babelnet.org/rdf/page/s09262184n,s09262184n,,
http://babelnet.org/rdf/page/s09262186n,s09262186n,,
