Link,Name,Disease Name,Is it in Wikidata?
http://babelnet.org/rdf/page/s00137433n,s00137433n,Epatosplenomegalia,
http://babelnet.org/rdf/page/s00138150n,s00138150n,Generalized_lymphadenopathy,Yes
http://babelnet.org/rdf/page/s00139968n,s00139968n,Deficiencia_de_galactoquinasa,Yes,
http://babelnet.org/rdf/page/s00140177n,s00140177n,prolactinoma,Yes
http://babelnet.org/rdf/page/s00140192n,s00140192n,Ependimoma,Yes,
http://babelnet.org/rdf/page/s00141994n,s00141994n,Dactilite,
http://babelnet.org/rdf/page/s00144880n,s00144880n,Aldolase_A_deficiency,Yes
http://babelnet.org/rdf/page/s00146394n,s00146394n,Fluoride_toxicity,Yes
http://babelnet.org/rdf/page/s00151832n,s00151832n,Intestinal_varices,Yes
http://babelnet.org/rdf/page/s00152952n,s00152952n,17β-Hydroxysteroid_dehydrogenase_III_deficiency,
http://babelnet.org/rdf/page/s00153175n,s00153175n,Proteopathy,Yes
http://babelnet.org/rdf/page/s00153472n,s00153472n,Chronic_pancreatitis,Yes
http://babelnet.org/rdf/page/s00157029n,s00157029n,Bulbar_palsy,Yes
http://babelnet.org/rdf/page/s00158224n,s00158224n,Chronic_Somogyi_rebound,Yes
http://babelnet.org/rdf/page/s00165078n,s00165078n,Jumping_Frenchmen_of_Maine,Yes
http://babelnet.org/rdf/page/s00165082n,s00165082n,Parafasia,Yes,
http://babelnet.org/rdf/page/s00165838n,s00165838n,Hemoglobin_Barts,Yes
http://babelnet.org/rdf/page/s00173282n,s00173282n,Lesione_spinale,
http://babelnet.org/rdf/page/s00174450n,s00174450n,Hidrocefalia_normotensiva,Yes,
http://babelnet.org/rdf/page/s00176121n,s00176121n,Heparin-induced_thrombocytopenia,Yes
http://babelnet.org/rdf/page/s00176395n,s00176395n,Arterial_tortuosity_syndrome,Yes
http://babelnet.org/rdf/page/s00176970n,s00176970n,Demencia_pugilística,Yes,
http://babelnet.org/rdf/page/s00181152n,s00181152n,Chemotherapy-induced_acral_erythema,Yes
http://babelnet.org/rdf/page/s00184279n,s00184279n,Geniculate_ganglionitis,Yes
http://babelnet.org/rdf/page/s00186056n,s00186056n,Hipertensión_sistólica_aislada,Yes,
http://babelnet.org/rdf/page/s00191878n,s00191878n,T-cell_prolymphocytic_leukemia,Yes
http://babelnet.org/rdf/page/s00192537n,s00192537n,Potassium-aggravated_myotonia,Yes
http://babelnet.org/rdf/page/s00199550n,s00199550n,Gross_pathology,
http://babelnet.org/rdf/page/s00199886n,s00199886n,Enfermedad_de_Laband,Yes,
http://babelnet.org/rdf/page/s00201404n,s00201404n,Zunich–Kaye_syndrome,Yes
http://babelnet.org/rdf/page/s00205375n,s00205375n,Barcoo_fever,Yes
http://babelnet.org/rdf/page/s00208729n,s00208729n,Nefropatia_da_reflusso,
http://babelnet.org/rdf/page/s00211140n,s00211140n,Aggressive_NK-cell_leukemia,Yes
http://babelnet.org/rdf/page/s00213743n,s00213743n,Idiopathic_giant-cell_myocarditis,Yes
http://babelnet.org/rdf/page/s00213828n,s00213828n,Mevalonate_kinase,
http://babelnet.org/rdf/page/s00213948n,s00213948n,Pentosuria,Yes
http://babelnet.org/rdf/page/s00214001n,s00214001n,Coxa_valga,Yes
http://babelnet.org/rdf/page/s00215350n,s00215350n,Condylomata_lata,Yes
http://babelnet.org/rdf/page/s00216795n,s00216795n,DeSanctis–Cacchione_syndrome,Yes
http://babelnet.org/rdf/page/s00221027n,s00221027n,Galactose_epimerase_deficiency,Yes
http://babelnet.org/rdf/page/s00221565n,s00221565n,Hepatosplenic_T-cell_lymphoma,Yes
http://babelnet.org/rdf/page/s00224245n,s00224245n,Pili_trianguli_et_canaliculi,Yes
http://babelnet.org/rdf/page/s00224759n,s00224759n,Urban–Rogers–Meyer_syndrome,Yes
http://babelnet.org/rdf/page/s00227374n,s00227374n,Usual_interstitial_pneumonia,Yes
http://babelnet.org/rdf/page/s00232691n,s00232691n,Angioimmunoblastic_T-cell_lymphoma,Yes
http://babelnet.org/rdf/page/s00234312n,s00234312n,Infarto_intestinal,Yes,
http://babelnet.org/rdf/page/s00236287n,s00236287n,diastematomyelia,Yes
http://babelnet.org/rdf/page/s00250923n,s00250923n,Rhinoscleroma,Yes
http://babelnet.org/rdf/page/s00253425n,s00253425n,Aciduria_orótica,Yes,
http://babelnet.org/rdf/page/s00259507n,s00259507n,Congenital_contractural_arachnodactyly,Yes
http://babelnet.org/rdf/page/s00263972n,s00263972n,Cat_eye_syndrome,Yes
http://babelnet.org/rdf/page/s00265815n,s00265815n,Déficit_en_transporteur_de_glucose_de_type_1,Yes,
http://babelnet.org/rdf/page/s00267709n,s00267709n,Caput_medusae,Yes
http://babelnet.org/rdf/page/s00280425n,s00280425n,Psychogenic_disease,Yes
http://babelnet.org/rdf/page/s00281406n,s00281406n,Paraneoplastic_syndrome,Yes
http://babelnet.org/rdf/page/s00284515n,s00284515n,Medullary_carcinoma,Yes
http://babelnet.org/rdf/page/s00292321n,s00292321n,cor_bovinum,Yes
http://babelnet.org/rdf/page/s00295774n,s00295774n,Lateral_pontine_syndrome,Yes
http://babelnet.org/rdf/page/s00296109n,s00296109n,Eteroforia,
http://babelnet.org/rdf/page/s00296666n,s00296666n,polyradiculoneuropathy,Yes
http://babelnet.org/rdf/page/s00298598n,s00298598n,Dysfunctional_uterine_bleeding,Yes
http://babelnet.org/rdf/page/s00299405n,s00299405n,Enfermedad_trofoblástica_gestacional,Yes,
http://babelnet.org/rdf/page/s00299418n,s00299418n,Gestational_choriocarcinoma,Yes
http://babelnet.org/rdf/page/s00300430n,s00300430n,caséum,
http://babelnet.org/rdf/page/s00302892n,s00302892n,Brenner_tumour,
http://babelnet.org/rdf/page/s00302903n,s00302903n,Ovarian_mucinous_tumor,Yes
